archive_entry_count,archive_file_count,archive_uncompressed_file_bytes,artifact_type,build_admission_disposition,build_receipt,bytes,commit,extracted_closure_sha256,extracted_file_bytes,extracted_file_count,extracted_path,id,local_verification,path,recorded_at,repository,responsible_workflow,rights_component_id,rights_component_ids,schema_name,schema_version,sha256,source_url,status,supersedes_id,toolchain
18,12,425102,frozen_gitlink_source_archive,frozen_local_gitlink_authority_only; contents remain excluded from the admitted Book 1 build unless a bounded dependency trace proves use,00_control/MACHINE_BACKEND_EVIDENCE.json,110834,f8516c2c252fda30a8d3239da05cd07c55d2631b,da685ddfbc05072d88d16a72a90897f0ef601084d1a1eff340431a5b2fb9955e,425102,12,authority/submodules/open-optimization-bibliography-f8516c2c252fda30a8d3239da05cd07c55d2631b,artifact.authority.submodule-archive.open-optimization-bibliography,pass,authority/archives/open-optimization-bibliography-f8516c2c252fda30a8d3239da05cd07c55d2631b.zip,2026-08-23T00:00:00+02:00,open-optimization-bibliography,codex-r017-o018-id-production,,,interlanguage.artifact,0.1.0,ad4943584bdbd761a9b8ee6b6dda7db1e5e549c31b0f7b1e4f17a0e442879cf5,,frozen_authority_only,,ZIP archive; independently extracted local authority closure
25,22,429557,frozen_gitlink_source_archive,frozen_local_gitlink_authority_only; contents remain excluded from the admitted Book 1 build unless a bounded dependency trace proves use,00_control/MACHINE_BACKEND_EVIDENCE.json,363369,dee882b717018318689f4b373ea1bfc82ddaed6c,ffb61b3d33e4c1541fc4b635b3e047197ad41026bf12910a2aab15f8cf4f811f,429557,22,authority/submodules/open-optimization-common-dee882b717018318689f4b373ea1bfc82ddaed6c,artifact.authority.submodule-archive.open-optimization-common,pass,authority/archives/open-optimization-common-dee882b717018318689f4b373ea1bfc82ddaed6c.zip,2026-08-23T00:00:00+02:00,open-optimization-common,codex-r017-o018-id-production,,,interlanguage.artifact,0.1.0,d52fbb0f9ad7a83f01766b4b635e3686c123b0d9ea2c421d8a8ba7bf3bc33d84,,frozen_authority_only,,ZIP archive; independently extracted local authority closure
37,33,449165,frozen_gitlink_source_archive,frozen_local_gitlink_authority_only; contents remain excluded from the admitted Book 1 build unless a bounded dependency trace proves use,00_control/MACHINE_BACKEND_EVIDENCE.json,181859,dc866da8b04bc89289c87afbea649da2044c7799,a74ecffed0d96f511af80ad5e82651f7861956c56e26544cad96bcea3b7c80df,449165,33,authority/submodules/open-optimization-or-examples-dc866da8b04bc89289c87afbea649da2044c7799,artifact.authority.submodule-archive.open-optimization-or-examples,pass,authority/archives/open-optimization-or-examples-dc866da8b04bc89289c87afbea649da2044c7799.zip,2026-08-23T00:00:00+02:00,open-optimization-or-examples,codex-r017-o018-id-production,,,interlanguage.artifact,0.1.0,cc8f5471b5be3b0af417eaff1cb11ff9a8add7fcb4e7bdc02234164452c43f1f,,frozen_authority_only,,ZIP archive; independently extracted local authority closure
,,,modular_backend_export,,Hash is carried by backend/dist/manifest.json to avoid a self-referential digest.,,,,,,,artifact.backend.canonical-json,,backend/dist/backend-v0.json,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,,,interlanguage.artifact,0.1.0,,,generated,,scripts/export_backend.py; Python standard library
,,,machine_backend_evidence_receipt,,"Schema-validated authority, platform, target/public distribution, and O018 mapping evidence.",163890,,,,,,artifact.backend.machine-backend-evidence,pass,00_control/MACHINE_BACKEND_EVIDENCE.json,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,,,interlanguage.artifact,0.1.0,60d81807fd9874b227ec5e0f343d2d30d50b1c6e22b0dc9f66b5e97212bd8691,,verified,,scripts/build_machine_backend_evidence.py; Python standard library
,,,external_authority_manifest,,Pinned commit/tree; 11 linked files frozen; three genuine 404 targets recorded; project-policy rights caveat preserved.,13762,,,,,,artifact.external.ooor-examples-authority-manifest,pass,authority/external/open-optimization-or-examples-b924d2fe61ee0ba925903aba615db4f46e65b4be/authority-manifest.json,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,rights.external.ooor-examples-policy,,interlanguage.artifact,0.1.0,0ff8ed376a662ee684c6b6d01d0592c0829b302451fb891a7483acb16a475a7a,,verified,,official raw/API authority freeze
,,,external_authority_manifest,,Pinned commit/tree; five-file transport closure; BSD-3-Clause license evidence bound.,4085,,,,,,artifact.external.pyomo-gallery-authority-manifest,pass,authority/external/pyomo-gallery-0c00b58439b6465cb30b9bf806519b1ade228ecc/authority-manifest.json,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,rights.external.pyomo-gallery,,interlanguage.artifact,0.1.0,eea454e4d4ba6d9b38f751dd0f22b2170e1ec5aa27a6126489f2601e55901a1b,,verified,,official raw/API authority freeze
,,,deterministic_computation_result,,13 numerical executions optimal; maximum violation 0.0; second run byte-identical; Exercise 3.8 represented conceptually.,7239,,,,,,artifact.o018.ch03-results,pass,source/o018-open-solver-lab/ch03-spreadsheet-replacements/results.json,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,rights.o018.prose-data,,interlanguage.artifact,0.1.0,54a1cd703958ec880e653354b67b3bb0629014343159884c5a05d63725170ede,,verified,,Pyomo 6.10.1 + highspy/HiGHS 1.15.1
,,,verification_log,,CHECK_OK and 16 passing tests recorded.,1148,,,,,,artifact.o018.ch03-verification-log,pass,source/o018-open-solver-lab/ch03-spreadsheet-replacements/verification.log,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,,,interlanguage.artifact,0.1.0,f5c80b6861957d8d507089e498dccc05a9c455bcaa38e3f2a7caec98cc42fc48,,verified,,O018 Chapter 3 test and deterministic check log
,,,verification_receipt,,"16/16 tests; 13/13 solves optimal; provenance, rights, imports, deterministic replay, and receipt inventory self-check pass.",3678,,,,,,artifact.o018.ch03-verification-receipt,pass,source/o018-open-solver-lab/ch03-spreadsheet-replacements/verification-receipt.json,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,rights.o018.prose-data,,interlanguage.artifact,0.1.0,7eb2117ea0493c82f2570fc9ff782ebd04fad2dbfeac5a9e41d6519feaad127b,,verified,,offline hash-locked O018 Chapter 3 verification
